"controle";"tipo_ocorrencia";"base";"data_fato";"mês";"ano"
"04336171-2021";"FURTO";"LAPA";2021-07-01 00:00:00;"jul";2021
"65870511-2021";"FURTO DE APARELHO DE CELULAR";"BARRA";2021-07-01 00:00:00;"jul";2021
"08250441-2021";"ROUBO A TRANSEUNTE";"IPANEMA";2021-07-01 00:00:00;"jul";2021
"39753821-2021";"APREENSÃO DE MATERIAL";"SÃO GONÇALO";2021-07-01 00:00:00;"jul";2021
"48343271-2021";"TRÁFICO DE DROGAS";"IPANEMA";2021-07-01 00:00:00;"jul";2021
"15026491-2021";"ROUBO A TRANSEUNTE";"SÃO GONÇALO";2021-07-01 00:00:00;"jul";2021
"22496691-2021";"APREENSÃO DE DROGAS";"RECREIO";2021-07-01 00:00:00;"jul";2021
"61789901-2021";"POSSE E USO";"JAPERI";2021-07-01 00:00:00;"jul";2021
"39088731-2021";"LESÃO CORPORAL DOLOSA";"IPANEMA";2021-07-01 00:00:00;"jul";2021
"06018871-2021";"FURTO";"NOVA IGUAÇU";2021-07-01 00:00:00;"jul";2021
"87076681-2021";"ROUBO A TRANSEUNTE";"BARRA";2021-07-01 00:00:00;"jul";2021
"32992761-2021";"FURTO A ESTABELECIMENTO COMERCIAL";"BANGU";2021-07-01 00:00:00;"jul";2021
"43485361-2021";"FURTO A ESTABELECIMENTO COMERCIAL";"LARANJEIRAS";2021-07-01 00:00:00;"jul";2021
"03242281-2021";"APREENSÃO DE VEÍCULO";"NOVA IGUAÇU";2021-07-01 00:00:00;"jul";2021
"91011361-2021";"POSSE E USO";"COPACABANA";2021-07-01 00:00:00;"jul";2021
"98490161-2021";"FURTO A TRANSEUNTE";"COPACABANA";2021-07-01 00:00:00;"jul";2021
"17234591-2021";"MANDADO DE PRISÃO";"SÃO GONÇALO";2021-07-01 00:00:00;"jul";2021
"30634731-2021";"FURTO";"BOTAFOGO";2021-07-01 00:00:00;"jul";2021
"31276361-2021";"MANDADO DE PRISÃO";"BANGU";2021-07-01 00:00:00;"jul";2021
"47403121-2021";"MANDADO DE PRISÃO";"SÃO GONÇALO";2021-07-01 00:00:00;"jul";2021
"15185391-2021";"POSSE E USO";"JAPERI";2021-07-01 00:00:00;"jul";2021
"67218961-2021";"FURTO";"NITERÓI";2021-07-02 00:00:00;"jul";2021
"99731661-2021";"RECEPTAÇÃO";"NITERÓI";2021-07-02 00:00:00;"jul";2021
"06821021-2021";"ROUBO A TRANSEUNTE";"SÃO GONÇALO";2021-07-02 00:00:00;"jul";2021
"25789651-2021";"POSSE E USO";"SÃO GONÇALO";2021-07-02 00:00:00;"jul";2021
"71126421-2021";"APREENSÃO DE DROGAS";"MIGUEL PEREIRA";2021-07-02 00:00:00;"jul";2021
"31027581-2021";"FURTO";"NITERÓI";2021-07-02 00:00:00;"jul";2021
